0:0:0:0:0:0:0:1 - - [06/May/2019:17:06:21 +0530] "GET /ORSproject04/ctl/MyProfileCtl HTTP/1.1" 200 6101
0:0:0:0:0:0:0:1 - - [06/May/2019:17:06:21 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:06:21 +0530] "GET /ORSproject04/img/cal.jpg HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [06/May/2019:17:06:29 +0530] "GET /ORSproject04/ctl/ChangePasswordCtl HTTP/1.1" 200 4889
0:0:0:0:0:0:0:1 - - [06/May/2019:17:06:33 +0530] "GET /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 200 5446
0:0:0:0:0:0:0:1 - - [06/May/2019:17:06:34 +0530] "GET /ORSproject04/LoginCtl HTTP/1.1" 200 2761
0:0:0:0:0:0:0:1 - - [06/May/2019:17:06:34 +0530] "GET /ORSproject04/img/rays.png HTTP/1.1" 200 62260
0:0:0:0:0:0:0:1 - - [06/May/2019:17:06:34 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/May/2019:17:06:35 +0530] "POST /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2019:17:06:36 +0530] "GET /ORSproject04/ctl/MarksheetListCtl HTTP/1.1" 200 6158
0:0:0:0:0:0:0:1 - - [06/May/2019:17:06:50 +0530] "GET /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 200 5446
0:0:0:0:0:0:0:1 - - [06/May/2019:17:11:13 +0530] "GET /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 200 5445
0:0:0:0:0:0:0:1 - - [06/May/2019:17:11:13 +0530] "GET /ORSproject04/img/rays.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:17:11:19 +0530] "POST /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 200 5556
0:0:0:0:0:0:0:1 - - [06/May/2019:17:14:09 +0530] "POST /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2019:17:14:09 +0530] "GET /jsp/MarksheetView.jsp HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [06/May/2019:17:14:12 +0530] "GET /jsp/MarksheetView.jsp HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [06/May/2019:17:14:18 +0530] "GET /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 200 5445
0:0:0:0:0:0:0:1 - - [06/May/2019:17:14:21 +0530] "POST /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2019:17:14:21 +0530] "GET /jsp/MarksheetView.jsp HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [06/May/2019:17:16:14 +0530] "GET /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 200 5445
0:0:0:0:0:0:0:1 - - [06/May/2019:17:16:14 +0530] "GET /ORSproject04/img/rays.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:17:16:18 +0530] "POST /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2019:17:16:18 +0530] "GET /jsp/MarksheetView.jsp HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [06/May/2019:17:17:09 +0530] "GET /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 200 5445
0:0:0:0:0:0:0:1 - - [06/May/2019:17:17:09 +0530] "GET /ORSproject04/img/rays.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2019:17:17:11 +0530] "POST /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 200 5445
0:0:0:0:0:0:0:1 - - [06/May/2019:17:17:12 +0530] "POST /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 200 5445
0:0:0:0:0:0:0:1 - - [06/May/2019:17:17:26 +0530] "POST /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 200 5445
0:0:0:0:0:0:0:1 - - [06/May/2019:17:17:53 +0530] "GET /ORSproject04/ctl/UserCtl HTTP/1.1" 200 7071
0:0:0:0:0:0:0:1 - - [06/May/2019:17:17:53 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:17:53 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:19:02 +0530] "GET /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 6136
0:0:0:0:0:0:0:1 - - [06/May/2019:17:19:06 +0530] "GET /ORSproject04/ctl/CollegeCtl?id=2 HTTP/1.1" 200 5463
0:0:0:0:0:0:0:1 - - [06/May/2019:17:29:55 +0530] "GET /ORSproject04/ctl/UserCtl HTTP/1.1" 200 7071
0:0:0:0:0:0:0:1 - - [06/May/2019:17:29:55 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:29:55 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:30:19 +0530] "POST /ORSproject04/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2019:17:30:20 +0530] "GET /ORSproject04/ctl/UserListCtl HTTP/1.1" 200 6521
0:0:0:0:0:0:0:1 - - [06/May/2019:17:30:23 +0530] "GET /ORSproject04/ctl/UserCtl?id=1 HTTP/1.1" 200 7196
0:0:0:0:0:0:0:1 - - [06/May/2019:17:30:23 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:30:23 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:30:28 +0530] "POST /ORSproject04/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2019:17:30:28 +0530] "GET /ORSproject04/ctl/UserListCtl HTTP/1.1" 200 6521
0:0:0:0:0:0:0:1 - - [06/May/2019:17:31:28 +0530] "GET /ORSproject04/ctl/UserCtl HTTP/1.1" 200 7071
0:0:0:0:0:0:0:1 - - [06/May/2019:17:31:28 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:31:28 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:33:03 +0530] "GET /ORSproject04/ctl/UserCtl HTTP/1.1" 200 7071
0:0:0:0:0:0:0:1 - - [06/May/2019:17:33:03 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:33:03 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:33:23 +0530] "GET /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 200 5445
0:0:0:0:0:0:0:1 - - [06/May/2019:17:33:23 +0530] "GET /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 200 5445
0:0:0:0:0:0:0:1 - - [06/May/2019:17:33:23 +0530] "GET /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 200 5445
0:0:0:0:0:0:0:1 - - [06/May/2019:17:33:27 +0530] "GET /ORSproject04/ctl/UserCtl HTTP/1.1" 200 7071
0:0:0:0:0:0:0:1 - - [06/May/2019:17:33:27 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:33:27 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:37:52 +0530] "GET /ORSproject04/ctl/MarksheetCtl HTTP/1.1" 200 5445
0:0:0:0:0:0:0:1 - - [06/May/2019:17:37:54 +0530] "GET /ORSproject04/ctl/UserCtl HTTP/1.1" 200 7071
0:0:0:0:0:0:0:1 - - [06/May/2019:17:37:54 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:37:54 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:38:02 +0530] "GET /ORSproject04/ctl/UserListCtl HTTP/1.1" 200 6521
0:0:0:0:0:0:0:1 - - [06/May/2019:17:38:04 +0530] "GET /ORSproject04/ctl/UserCtl?id=1 HTTP/1.1" 200 7196
0:0:0:0:0:0:0:1 - - [06/May/2019:17:38:04 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:38:04 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:38:13 +0530] "GET /ORSproject04/ctl/UserCtl HTTP/1.1" 200 7071
0:0:0:0:0:0:0:1 - - [06/May/2019:17:38:13 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:38:13 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:38:50 +0530] "GET /ORSproject04/ctl/UserCtl HTTP/1.1" 200 7069
0:0:0:0:0:0:0:1 - - [06/May/2019:17:38:50 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:38:50 +0530] "GET /ORSproject04/js/calendar.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [06/May/2019:17:40:08 +0530] "GET /ORSproject04/ctl/UserListCtl HTTP/1.1" 200 6521
0:0:0:0:0:0:0:1 - - [06/May/2019:17:40:09 +0530] "GET /ORSproject04/ctl/UserCtl?id=1 HTTP/1.1" 200 7196
