127.0.0.1 - - [22/Apr/2019:15:01:50 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:01:54 +0530] "GET /ORSproject04/ HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:01:54 +0530] "GET /ORSproject04/img/rays.png HTTP/1.1" 200 62260
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:01:59 +0530] "GET /ORSproject04/WelcomeCtl HTTP/1.1" 200 1297
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:02:02 +0530] "GET /ORSproject04/LoginCtl HTTP/1.1" 200 2587
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:02:25 +0530] "POST /ORSproject04/LoginCtl HTTP/1.1" 200 3188
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:02:31 +0530] "GET /ORSproject04/ctl/MarksheetMeritListCtl HTTP/1.1" 200 4168
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:02:44 +0530] "GET /ORSproject04/ctl/MarksheetListCtl HTTP/1.1" 200 5174
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:02:51 +0530] "GET /ORSproject04/ctl/UserListCtl HTTP/1.1" 200 5491
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:03:05 +0530] "GET /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 5155
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:03:09 +0530] "GET /ORSproject04/ctl/StudentListCtl HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:03:11 +0530] "GET /ORSproject04/ctl/RoleListCtl HTTP/1.1" 200 5408
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:03:14 +0530] "GET /ORSproject04/ctl/CoursesListCtl HTTP/1.1" 200 6435
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:03:14 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:09:27 +0530] "GET /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 5807
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:10:20 +0530] "GET /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 5807
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:11:14 +0530] "GET /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 6017
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:13:11 +0530] "GET /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 6028
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:15:37 +0530] "GET /ORSproject04/ctl/CoursesListCtl HTTP/1.1" 200 6435
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:15:37 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:16:31 +0530] "GET /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 6028
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:18:24 +0530] "GET /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 6029
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:18:27 +0530] "GET /ORSproject04/ctl/UserListCtl HTTP/1.1" 200 5491
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:18:31 +0530] "GET /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 6029
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:18:42 +0530] "POST /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 6029
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:18:45 +0530] "POST /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 5069
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:18:47 +0530] "POST /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 6029
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:20:00 +0530] "GET /ORSproject04/ctl/CoursesListCtl HTTP/1.1" 200 6435
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:20:00 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:20:04 +0530] "GET /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 6030
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:21:01 +0530] "GET /ORSproject04/ctl/CoursesListCtl HTTP/1.1" 200 6435
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:21:01 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:21:05 +0530] "GET /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 6060
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:25:21 +0530] "GET /ORSproject04/ctl/CoursesListCtl HTTP/1.1" 200 6435
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:25:21 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:25:30 +0530] "POST /ORSproject04/ctl/CoursesListCtl HTTP/1.1" 200 4034
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:25:30 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:25:31 +0530] "POST /ORSproject04/ctl/CoursesListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:25:32 +0530] "GET /ORSproject04/ctl/CoursesListCtl HTTP/1.1" 200 6070
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:25:32 +0530] "GET /ORSproject04/format.css HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:28:46 +0530] "GET /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 6060
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:39:04 +0530] "GET /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 6060
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:39:06 +0530] "GET /ORSproject04/ctl/UserListCtl HTTP/1.1" 200 5491
0:0:0:0:0:0:0:1 - - [22/Apr/2019:15:39:09 +0530] "GET /ORSproject04/ctl/CollegeListCtl HTTP/1.1" 200 6060
